lat,lon
-80.3716,43.4102
-73.6911,45.4946
-79.816,43.253
-66.5455,45.8765
-79.8061,43.2494
-66.6148,46.0971
-83.0735,42.3041
-113.4062,53.4827
-65.8046,46.8847
-79.3934,43.6642
-79.7247,43.2379
-67.8718,47.1381
-63.7682,46.3861
-73.7448,45.5759
-80.2121,43.5646
-65.8309,45.5789
-79.4177,43.7985
-73.6161,45.4984
-80.3551,43.6398
-82.5084,42.0201
-79.5742,43.7634
-80.1078,43.5514
-79.4784,43.7563
-79.597,43.6746
-80.5299,43.4825
-79.2517,43.7329
-79.3818,43.6555
-79.4653,43.9866
-64.7253,46.1287
-112.8091,49.6769
-78.8773,43.9402
-79.8214,43.2522
-82.7084,42.0231
-76.9547,44.7298
-70.8186,47.0213
-78.6938,44.9166
-76.2054,45.0683
-112.687,49.4563
-79.8044,43.3379
-79.2825,43.7327
-79.186,43.761
-79.4706,43.9728
-73.613,45.4461
-79.1925,43.7923
-113.5138,53.5294
-80.5363,43.4526
-112.7967,49.6662
-79.8091,43.3213
-113.5214,53.3816
-79.186,43.7668
-114.0456,50.8804
-83.0445,42.2984
-79.3635,43.8106
-79.2496,43.7374
-73.5609,45.5145
-80.507,43.7098
-80.3107,43.7518
-66.4821,45.8258
-80.4306,43.4542
-81.483,43.4325
-78.8669,43.9323
-80.385,43.4048
-79.1828,43.7699
-79.1803,43.7685
-79.2803,43.7126
-79.6305,43.5306
-79.8484,43.5552
-79.7011,43.7734
-67.7291,46.7829
-79.2685,43.7294
-79.7724,43.2634
-80.5324,43.5025
-66.5942,45.9827
-79.785,43.7989
-80.2444,44.3223
-69.1233,47.6938
-73.7099,45.554
-79.1856,43.7749
-79.1868,43.7649
-73.724,45.4901
-123.372,48.4463
-79.3956,43.6547
-79.4278,43.9629
-79.5512,43.7546
-79.4093,43.6575
-80.0874,43.433
-80.5281,43.4641
-73.577,45.5103
-76.3955,44.8675
-68.5302,47.5092
-79.8615,43.5503
-80.3275,43.3997
-79.748,43.2547
-80.1228,43.7344
-79.556,43.7179
-80.4828,43.4552
-80.1633,43.661
-80.4517,43.4655
-66.6388,45.9331
-79.291,43.7295
-79.9741,43.3535
-113.9826,50.9093
-73.503,45.4299
-80.5847,43.5939
-63.5051,44.8899
-63.6603,44.7572
-77.4959,44.1625
-79.2934,43.764
-79.2947,43.7522
-65.0287,46.0616
-80.4977,43.4822
-79.3953,43.6627
-113.8571,52.3254
-80.228,43.5542
-79.5738,43.7301
-113.8754,52.171
-80.2779,43.5814
-71.2451,46.7779
